Control_Count,Date_Replied,Status,Unique_identifier,Likely_to_recommend_Online_Site_MY_SITE,Purchased_from_Site_A,Purchased_from_Site_B,Purchased_from_Site_C,Purchased_from_Site_D,Purchased_from_Site_E,Purchased_from_Site_F,Purchased_from_Site_G,Purchased_from_Site_H,Purchased_from_Site_I,Purchased_from_Site_J,Purchased_from_Site_K,Purchased_from_Site_L,Purchased_from_Site_M,Purchased_from_Site_N,Purchased_from_Site_O,Purchased_from_Site_P,Purchased_from_Site_Q,Purchased_from_Site_R,Purchased_from_Site_S,Purchased_from_Site_T,Purchased_from_Site_U,Purchased_from_Site_V,Purchased_from_Site_W,Purchased_from_Site_X,Purchased_from_Site_Y,Purchased_from_MY_SITE_only,No_of_Online_Sites_used,MYSITE_Rank,Sales_reps_Responsiveness,Sales_reps_ease_of_making_contact,Sales_reps_general_attitude,Sales_reps_quotation,Sales_reps_relationship,Sales_reps_overall_satisfaction,Customer_service_Responsiveness,Customer_service_Ease_of_making_contact,Customer_service_general_attitude,Customer_service_Knowledge_of_business,Customer_service_issue_resolution,Customer_service_keeping_customers_informed,Customer_service_Overall_satisfaction,Delivery_on_time_schedules,Delivery_on_time_coverage,Delivery_on_time_keeping_customers_informed,Delivery_on_time_accuracy_transit_time,Delivery_on_time_availability_of_products,Delivery_on_time_speed,Delivery_on_time_Overall_satisfaction,Ease_of_business_booking,Ease_of_business_documentation,Ease_of_business_invoicing,Ease_of_business_online_system,Ease_of_business_overall_satisfaction,Improving_business_opps_knowledge_of_business,Improving_business_opps_understanding_of_needs,Improving_business_opps_demonstrating_opps,Improving_business_opps_specific_offers,Improving_business_opps_overall_satisfaction,Overall_Satisfaction_taking_everything_into_account,Proportion_of_purchase_made_with_MY_SITE,Future_proportion_of_purchase_made_at_MY_SITE
,42193,COMPLETE_Partial,1191116004986,4,1,1,1,,,1,1,1,1,1,1,,,1,1,1,1,1,1,,1,,1,1,,,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,6,6,6,,6,5,5,5,5,5,6,Prefer not to say,Prefer not to say
,42193,COMPLETE_Partial,1571116035920,5,1,1,,,,,,1,,,,,,,,1,1,,,,,,,,,,6,,99,99,99,99,99,99,1,99,99,99,1,5,99,8,8,5,99,8,8,8,99,9,0,99,6,5,5,5,5,5,99,Prefer not to say,Prefer not to say
,42193,COMPLETE_Partial,1231116016295,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,9,6,1,,,,,,,,,,,,,,,,,,,,99,8,8,6,6,,,
,42193,COMPLETE_Partial,1931116025589,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,,,
,42193,COMPLETE_Partial,1671116016442,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,99,10,0,10,0,10,99,99,99,,,99,0,0,0,10,10,10,0,10,,10,,,
,42193,COMPLETE_Partial,1541116033463,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,7,8,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1681116001665,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,99,99,8,,,,,,,,
,42193,COMPLETED,1911116037589,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1321116023286,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,8,99,99,6,,,,,,,,,,,,,,,,,,,,99,6,6,6,6,,,
,42193,COMPLETE_Partial,1441116017956,5,,1,,,,1,,,1,,,,,,1,,,,,,,,,,,,5,5,99,99,99,99,99,99,5,8,8,5,5,99,7,8,8,99,8,99,8,8,99,99,99,5,6,99,99,99,99,99,5,1% to 5%,Stay the same
,42193,COMPLETED,1851116017717,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42194,COMPLETE_Partial,1331116027850,5,1,,1,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,9,5,5,10,6,9,9,5,3,1,3,6,6,6,6,6,6,,,
,42193,COMPLETE_Partial,1161116019369,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,,,
,42193,COMPLETE_Partial,1261116026657,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1881116022635,9,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,4,2,99,99,,99,99,99,10,10,10,10,10,9,10,9,9,7,9,9,8,9,9,9,9,6,8,99,99,99,99,99,9,51% to 75%,Don’t know
,42193,COMPLETE_Partial,1261116028847,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9,9,9,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1671116034794,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETED,1111116002262,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1111116035367,0,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,23,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,2,2,7,7,2,7,7,2,7,3,2,2,2,2,2,4,6% to 15%,Decrease
,42201,COMPLETE_Partial,1601116018997,9,,1,1,,1,1,,,1,,,,,,1,,1,,,,1,,,,1,,10,3,9,9,10,9,10,9,8,7,9,8,8,7,8,8,7,8,8,5,9,9,7,10,3,9,7,9,9,9,8,9,7,16% to 25%,Decrease
,42193,COMPLETE_Partial,1881116011444,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,99,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1861116002157,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,6,99,6,6,,,,,,,,,,,,,,,7,8,6,8,8,5,5,6,5,5,,,
,42193,COMPLETE_Partial,1061116016660,3,,1,,,1,,1,1,1,,,,,,1,,,,,,1,,,1,,,9,1,2,6,3,3,5,2,1,4,4,2,0,1,1,1,8,5,1,1,1,0,0,3,5,4,2,2,1,2,2,1,4,1% to 5%,Decrease
,42201,COMPLETED,1451116002740,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1361116032013,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,7,7,2,99,7,6,7,99,99,99,7,6,3,1,0,99,2,8,7,99,5,7,,,
,42193,COMPLETE_Partial,1091116027047,9,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,1,9,9,9,8,9,9,5,9,9,9,9,9,9,7,9,9,6,7,9,8,8,9,9,8,9,8,9,9,8,9,9,51% to 75%,Increase
,42193,COMPLETE_Partial,1741116031219,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,2,4,6,6,4,0,1,99,3,2,,,,,,,,
,42193,COMPLETED,1101116039952,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42207,COMPLETE_Partial,1341116024780,4,,,,,,,,,,,,,,,1,,,,,,1,,,,,,3,,5,2,5,3,6,5,4,4,4,2,4,7,4,7,8,99,7,7,99,7,99,99,99,99,4,4,4,4,4,4,2,1% to 5%,Stay the same
,42193,COMPLETED,1821116012075,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1151116032837,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,7,0,7,1,5,5,7,6,2,0,2,5,5,7,5,4,5,4,,,,,,,,,,,,,
,42193,COMPLETED,1111116015484,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1991116011704,8,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,1,,,,1,,,,18,,9,8,9,99,9,9,7,8,8,8,8,7,8,6,6,6,4,4,5,4,6,7,99,99,8,7,6,6,5,7,7,16% to 25%,Don’t know
,42193,COMPLETE_Partial,1941116000797,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,3,8,7,7,7,7,7,1,4,4,2,4,4,4,4,,,
,42193,COMPLETE_Partial,1141116005346,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,7,4,7,9,7,,,
,42193,COMPLETE_Partial,1651116036142,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,4,2,2,,,,,,,,,,,,,,,,,,,,5,4,5,5,4,,,
,42193,COMPLETE_Partial,1701116005518,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1481116028701,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,8,99,9,9,,,,,,,,,,,,,,,8,8,99,8,8,8,8,8,8,8,,,
,42193,COMPLETE_Partial,1581116015149,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,0,0,0,5,5,0,5,5,3,0,99,0,0,99,0,,,,,,,,
,42193,COMPLETE_Partial,1601116014577,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1661116035986,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1721116000390,0,1,1,1,,,,1,,1,,,,,,1,1,,,,,,,,,,,8,8,99,99,99,99,99,99,3,99,5,5,1,0,5,0,3,1,1,99,0,0,99,99,99,99,99,99,99,99,99,99,3,Don’t know,Decrease
,42193,COMPLETED,1021116026393,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETED,1451116016828,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1471116029006,3,,1,,,,,,,,,,,,,1,,,,,,,,,,,,3,3,6,4,6,5,6,6,6,5,6,6,5,6,4,3,6,4,3,7,3,4,7,4,2,4,4,5,5,5,5,5,5,Don’t know,Decrease
,42194,COMPLETE_Partial,1421116019940,5,,1,,,,1,,,,1,,,,,1,,,,,,,,,,,,5,5,6,5,6,5,6,5,6,5,6,6,5,5,5,9,9,6,9,9,9,9,7,5,1,7,5,5,5,6,5,5,6,1% to 5%,Prefer not to say
,42207,COMPLETE_Partial,1911116037150,2,,1,1,,,1,1,1,1,,,,,,1,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,1,1,,99,99,,,,,2,Prefer not to say,
,42193,COMPLETE_Partial,1281116036649,9,,1,1,,1,1,1,,1,,,,,,1,1,1,,1,,1,,,,,,12,8,6,7,8,7,5,4,8,9,8,8,8,9,8,8,7,7,8,5,8,9,7,7,5,9,8,6,6,6,6,6,8,Don’t know,Don’t know
,42193,COMPLETE_Partial,1791116025766,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9,,9,9,9,0,9,9,9,9,9,9,9,,,
,42193,COMPLETE_Partial,1499816003597,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,
,42207,COMPLETED,1499816003598,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1589816003599,5,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,,24,9,4,3,2,2,2,3,3,4,2,3,3,3,3,4,5,3,5,5,3,3,2,1,0,2,1,2,1,1,1,1,2,16% to 25%,Decrease
,42202,COMPLETE_Partial,1479816003600,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1641116026571,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,99,99,99,99,99,4,7,7,7,3,3,7,2,8,2,2,6,7,8,4,7,2,8,7,99,99,99,99,99,7,,Don’t know
,42193,COMPLETE_Partial,1041116039272,0,,1,1,,,,,,,,,,,,1,,1,,,,,,,,,,5,,99,99,99,99,99,99,99,99,99,99,99,99,0,99,99,99,99,99,99,99,99,99,99,99,0,99,99,99,99,0,0,1% to 5%,Don’t know
,42193,COMPLETE_Partial,1821116026622,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1811116001598,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1251116010891,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,
,42193,COMPLETED,1261116008045,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42207,COMPLETE_Partial,1929816003607,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,99,99,99,99,99,,,,,,,,,,,,,,,5,3,1,1,2,,,,,,,,
,42193,COMPLETE_Partial,1991116036726,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,99,99,99,99,99,,,,,,,,7,8,5,7,7,7,7,7,7,0,7,6,99,,99,99,99,,,
,42193,COMPLETED,1731116004425,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1901116003765,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42207,COMPLETE_Partial,1351116024789,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1921116034661,10,,1,,,1,,1,,,,,,,,1,,,,,,,,,,,,5,5,10,10,10,10,10,10,10,10,10,10,10,10,,10,9,9,10,10,,,5,8,8,,9,10,10,10,10,10,10,26% to 50%,Don’t know
,42193,COMPLETE_Partial,1111116015547,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42207,COMPLETE_Partial,1361116012980,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,8,9,6,9,7,7,7,7,99,99,7,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1941116012091,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,9,8,6,8,,,,,,,,3,6,4,5,5,6,3,6,8,7,8,3,7,7,6,7,7,,,
,42193,COMPLETE_Partial,1371116028837,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,4,2,4,,,,,,,,5,7,1,6,7,4,3,6,7,1,8,3,3,1,5,99,3,,,
,42193,COMPLETE_Partial,1551116017640,0,,1,,,,1,,,1,,,,,,1,,1,,,,,,,,,,6,1,99,0,99,0,99,0,0,0,1,2,1,0,0,2,2,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,1% to 5%,Prefer not to say
,42193,COMPLETE_Partial,1341116023309,5,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,5,3,99,99,99,99,99,99,6,8,7,8,7,5,7,7,5,8,5,5,7,6,99,6,99,6,6,99,99,99,99,99,6,16% to 25%,Don’t know
,42193,COMPLETE_Partial,1461116024651,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,8,,,,8,,8,,,8,5,,,8,,,,,,,,,,,8,51% to 75%,Increase
,42193,COMPLETED,1561116032681,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1501116021617,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,3,8,5,3,3,4,4,6,4,4,4,4,4,3,4,,,
,42193,COMPLETE_Partial,1801116008394,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1901116013451,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,8,6,8,7,,,,,,,,,,,,,,,,,,,,7,7,6,7,7,,,
,42193,COMPLETE_Partial,1741116023949,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,9,99,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1451116017395,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,8,8,8,8,8,8,8,8,8,,,,,,,,
,42193,COMPLETE_Partial,1581116010637,8,1,,1,,,1,,1,,1,,,,,1,,,,,,,,1,,,,8,6,99,99,99,99,99,99,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,9,Prefer not to say,Increase
,42193,COMPLETED,1551116003907,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1351116029590,10,1,1,1,1,,,1,1,1,,,,,,1,,,,,,,,1,,,,10,2,9,9,8,7,9,8,10,8,10,8,8,9,10,8,8,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,26% to 50%,Don’t know
,42193,COMPLETED,1461116028784,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETED,1341116030856,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETED,1561116038762,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1661116033609,10,1,1,1,,1,1,1,1,1,,1,,,1,1,1,1,1,,,1,1,1,1,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,99,10,10,10,10,10,10,10,10,10,10,10,,
,42193,COMPLETE_Partial,1691116004188,3,1,1,1,,1,,,,1,,,,,,,1,,,,,1,,,,,,8,4,7,8,7,5,7,7,5,6,6,5,4,4,5,6,7,3,6,6,99,4,6,3,3,6,3,8,8,6,6,6,4,6% to 15%,Stay the same
,42193,COMPLETE_Partial,1051116031332,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1471116004582,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,,,
,42193,COMPLETED,1711116009090,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1251116031969,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,8,10,99,10,9,10,9,9,9,9,99,9,7,7,6,6,6,7,10,10,7,10,10,,,
,42193,COMPLETE_Partial,1611116002497,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,7,10,10,10,10,99,10,99,10,99,99,99,99,99,99,,,
,42207,COMPLETE_Partial,1931116031397,5,,1,,,1,1,,1,1,,1,,,1,,,1,,,,1,,1,1,,,12,6,5,4,5,99,5,5,9,7,99,7,6,6,9,9,9,6,9,9,9,8,99,9,9,99,9,5,5,99,99,6,8,Prefer not to say,Prefer not to say
,42193,COMPLETE_Partial,1921116026733,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1551116032737,5,,1,,,,,1,,1,1,,,,1,,1,,,,,,,,1,,,8,5,4,4,5,5,4,5,5,4,5,5,5,4,4,5,5,5,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5,1% to 5%,Stay the same
,42194,COMPLETE_Partial,1231116019814,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,7,8,8,8,8,8,8,8,8,99,8,8,99,99,99,99,99,,,,,,,,
,42193,COMPLETE_Partial,1681116016440,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,99,99,99,99,99,,,,,,,,,,,,,,,4,2,1,2,1,99,99,99,99,99,,,
,42193,COMPLETE_Partial,1481116001474,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,8,99,10,5,,,,,,,,,,,,,,,,,,,,2,5,99,99,99,,,
,42193,COMPLETE_Partial,1401116025272,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETED,1121116016767,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETED,1601116018673,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1581116001342,7,1,1,,,,1,,,,,,,,,1,,,,,,,,,,,,5,3,7,7,8,6,7,8,6,7,6,6,3,5,6,8,7,7,5,6,6,,6,6,3,7,6,6,7,6,6,6,7,76% to 99%,Prefer not to say
,42193,COMPLETE_Partial,1341116035190,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,99,2,99,2,7,7,7,99,7,7,7,4,5,5,5,4,0,5,,5,5,99,5,,,,,,,,
,42193,COMPLETE_Partial,1371116020114,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,99,99,99,99,,,
,42193,COMPLETE_Partial,1891116035585,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,6,8,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1111116005628,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,10,8,,,,,,,,9,9,9,5,9,9,8,8,8,1,8,9,9,9,9,9,9,,,
,42193,COMPLETE_Partial,1491116029118,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1071116038495,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,,,8,8,8,8,8,6,6,6,6,6,,,
,42193,COMPLETE_Partial,1421116024397,0,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,,1,1,,,1,1,,,19,2,2,3,3,2,3,3,0,2,0,0,0,2,0,9,10,0,7,0,0,2,0,0,0,0,0,2,1,2,0,1,0,16% to 25%,Stay the same
,42193,COMPLETE_Partial,1431116001000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,6,7,0,5,0,6,0,7,0,0,0,6,10,0,9,7,0,8,7,7,7,5,7,,,,,,,,
,42193,COMPLETE_Partial,1021116010704,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,99,99,99,99,99,,,,,,,,9,9,10,9,10,10,9,8,7,99,6,9,99,99,99,99,99,,,
,42193,COMPLETE_Partial,1381116025105,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,5,6,99,6,6,7,6,7,7,7,6,7,,,,,,,,8,99,99,8,8,7,7,7,7,7,,,
,42193,COMPLETE_Partial,1911116023065,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,7,8,5,7,8,6,6,5,4,6,6,6,6,6,,,,
,42193,COMPLETE_Partial,1181116016781,8,1,1,1,1,1,1,1,1,1,,,,,1,1,,,,,,,1,,,,,14,5,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,5,6,7,99,99,99,99,99,7,1% to 5%,Don’t know
,42193,COMPLETE_Partial,1041116005797,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9,,,,,,,,
,42193,COMPLETE_Partial,1921116001534,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1811116020991,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,5,8,8,5,8,5,2,8,8,5,,,,,,,,
,42193,COMPLETE_Partial,1501116024499,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,8,8,8,,,,,,,,
,42193,COMPLETE_Partial,1611116029130,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,,
,42193,COMPLETE_Partial,1931116003209,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42207,COMPLETE_Partial,1831116011679,8,,,1,,1,,1,,,,,,,,1,,,,,,,1,,,,,,,8,7,8,8,7,8,8,8,9,8,9,8,9,7,7,7,7,7,,8,7,7,7,7,7,7,7,7,7,7,,,
,42193,COMPLETE_Partial,1851116039633,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,99,99,99,99,99,9,9,9,99,9,99,9,,,,,,,,99,9,99,9,9,99,99,99,99,99,,,
,42193,COMPLETED,1251116021146,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1071116025380,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETED,1411116039775,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1321116030393,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETED,1921116018187,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1211116028956,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42193,COMPLETE_Partial,1501116019463,5,1,1,,,,,1,1,1,,,,,,,,,,1,1,,,,,,,9,,5,2,7,4,9,5,4,3,4,5,1,4,4,6,8,4,6,6,7,5,6,8,0,8,6,5,5,5,5,5,6,Don’t know,Don’t know
